Open,High,Low,Close,Adj Close,Volume,Month
12.5,12.5,11.93,12.28,12.28,42900,6
12.47,12.54,11.75,12.0,12.0,27000,6
12.04,12.5,11.8,11.8,11.8,41500,6
11.5,11.78,11.2,11.44,11.44,70100,6
11.47,11.842,11.356,11.449,11.449,25600,6
11.42,11.671,11.39,11.51,11.51,28200,6
11.58,11.58,11.2,11.32,11.32,19700,6
11.34,11.419,11.03,11.15,11.15,21200,6
11.03,11.15,10.51,10.86,10.86,41900,6
10.5,11.03,10.35,10.484,10.484,84400,6
10.97,10.97,10.49,10.76,10.76,56800,7
10.76,11.099,10.39,10.39,10.39,52200,7
10.8,12.0,10.8,12.0,12.0,129700,7
11.99,12.32,11.61,12.14,12.14,173400,7
12.0,12.0,11.51,11.71,11.71,30600,7
11.91,11.92,11.29,11.36,11.36,47800,7
11.39,12.0,11.31,11.79,11.79,72300,7
12.16,12.26,10.76,10.94,10.94,73100,7
11.2,11.45,10.6,10.6,10.6,92800,7
10.6,11.29,10.52,10.85,10.85,104000,7
10.65,10.85,10.51,10.85,10.85,99500,7
10.7,11.21,10.36,10.45,10.45,154000,7
10.4,10.58,10.15,10.38,10.38,94200,7
10.35,10.5,10.2,10.3,10.3,77800,7
10.51,10.53,9.99,10.0,10.0,101800,7
10.0,10.415,9.71,9.97,9.97,117300,7
9.9,9.9,7.59,8.53,8.53,259200,7
8.63,9.0,8.0,8.15,8.15,151000,7
8.15,8.15,7.7,7.7,7.7,107500,7
8.49,8.497,7.78,8.04,8.04,135100,7
8.49,8.5,7.67,7.99,7.99,145300,7
8.73,8.73,7.7,8.32,8.32,126500,7
8.45,9.8,8.42,9.64,9.64,160300,8
10.38,10.38,9.71,9.99,9.99,87100,8
10.0,10.03,9.76,9.9,9.9,81800,8
9.9,10.6,9.38,9.44,9.44,61600,8
9.3,9.5,9.05,9.21,9.21,61900,8
9.36,9.9,9.36,9.69,9.69,38400,8
9.86,10.39,9.66,9.72,9.72,51700,8
9.89,10.0,9.54,9.7,9.7,25300,8
9.71,9.9,9.133,9.2,9.2,63700,8
9.25,9.645,8.8,8.99,8.99,85300,8
9.0,9.15,8.81,8.94,8.94,67000,8
8.95,9.0,8.51,8.8,8.8,66100,8
8.65,8.879,8.25,8.32,8.32,91700,8
8.35,8.36,7.83,8.02,8.02,131200,8
8.3,8.446,7.9,8.05,8.05,148000,8
8.22,8.45,7.77,7.88,7.88,116100,8
8.37,8.47,7.95,8.42,8.42,83900,8
8.89,8.89,8.07,8.6,8.6,121500,8
8.5,8.59,8.0,8.21,8.21,82500,8
8.25,8.48,8.25,8.36,8.36,23100,8
8.59,9.228,8.25,9.2,9.2,112000,8
9.4,9.5,8.71,9.11,9.11,99800,9
9.43,9.46,8.42,9.08,9.08,95800,9
9.15,9.33,8.7,9.19,9.19,103600,9
9.15,9.19,8.36,8.53,8.53,61900,9
8.71,8.8,8.36,8.6,8.6,62500,9
8.66,8.88,8.4,8.65,8.65,51500,9
8.81,9.18,8.53,9.11,9.11,78900,9
8.91,9.2,8.81,9.12,9.12,52000,9
9.11,9.12,8.8,9.06,9.06,35300,9
9.1,9.75,9.01,9.74,9.74,158800,9
10.0,10.05,9.39,10.0,10.0,710600,9
10.0,10.0,9.14,9.66,9.66,80200,9
9.62,9.76,8.98,9.59,9.59,81500,9
9.32,9.32,8.81,8.92,8.92,42600,9
8.95,9.33,8.65,9.25,9.25,59100,9
9.1,9.1,8.52,8.68,8.68,80900,9
8.5,8.67,7.92,8.0,8.0,110900,9
8.16,8.502,7.82,8.0,8.0,90500,9
8.1,8.26,7.9,7.99,7.99,89000,9
8.0,8.37,7.94,7.95,7.95,45400,9
7.98,8.2,7.92,7.978,7.978,76500,9
